image_file,article_id,product_type_name,product_group_name,garment_group_name,colour_group_name,index_group_name,prod_name
0541491015.jpg,0541491015,T-shirt,Garment Upper body,Jersey Basic,Dark Purple,Menswear,Ronny R-neck
0546406001.jpg,0546406001,Skirt,Garment Lower body,Skirts,Black,Ladieswear,Rexona mini skirt
0548388013.jpg,0548388013,Sweater,Garment Upper body,Knitwear,Black,Ladieswear,Marissa
0552272001.jpg,0552272001,Necklace,Accessories,Accessories,Black,Ladieswear,Cool Hedda Choker
0553873002.jpg,0553873002,Dress,Garment Full body,Jersey Fancy,Pink,Baby/Children,Dragonfly
0553873005.jpg,0553873005,Dress,Garment Full body,Jersey Fancy,White,Baby/Children,Dragonfly
0555326011.jpg,0555326011,Trousers,Garment Lower body,Trousers Denim,Blue,Baby/Children,SKINNY TRASH 89
0555351001.jpg,0555351001,Trousers,Garment Lower body,Trousers Denim,Blue,Baby/Children,SKINNY SATEEN 89
0556549001.jpg,0556549001,Heeled sandals,Shoes,Shoes,Beige,Ladieswear,Georgia sandalette
0558178001.jpg,0558178001,T-shirt,Garment Upper body,Unknown,Light Grey,Menswear,RC DOMINIC LS
0558282001.jpg,0558282001,Jacket,Garment Upper body,Unknown,Black,Sport,TWIST running jacket
0562657002.jpg,0562657002,Belt,Accessories,Accessories,Yellowish Brown,Ladieswear,Huwey braided hip belt
0564557002.jpg,0564557002,Shorts,Garment Lower body,Woven/Jersey/Knitted mix Baby,Dark Blue,Baby/Children,Abbe shorts Top product
0565855004.jpg,0565855004,Slippers,Shoes,Socks and Tights,Light Pink,Ladieswear,Wild Slippers
0568456020.jpg,0568456020,Shirt,Garment Upper body,Shirts,Yellowish Brown,Menswear,SS Linen Mot TVP R
0571343003.jpg,0571343003,Earring,Accessories,Accessories,Silver,Divided,Giant Hoops
0571656002.jpg,0571656002,Garment Set,Garment Full body,Jersey Fancy,White,Baby/Children,Stella Set
0572128005.jpg,0572128005,Blouse,Garment Upper body,Blouses,Light Beige,Ladieswear,Coco
0572998012.jpg,0572998012,Trousers,Garment Lower body,Trousers,Off White,Divided,Beverly HW Loose Mom Fit Dnm
0573085001.jpg,0573085001,Trousers,Garment Lower body,Trousers,Black,Ladieswear,Madison skinny HW
0576387003.jpg,0576387003,Boots,Shoes,Shoes,Beige,Menswear,Freddan canvas boot
0576558001.jpg,0576558001,Cardigan,Garment Upper body,Knitwear,Grey,Baby/Children,ARABELLA boxy cardigan
0576782001.jpg,0576782001,Other shoe,Shoes,Accessories,Black,Baby/Children,Dance Shoe PU
0579504001.jpg,0579504001,Scarf,Accessories,Woven/Jersey/Knitted mix Baby,Dark Grey,Baby/Children,BENNO
0581363013.jpg,0581363013,Ballerinas,Shoes,Shoes,Black,Ladieswear,Scallop ballerina
0582247002.jpg,0582247002,Outdoor trousers,Garment Lower body,Unknown,Dark Grey,Sport,SUSS trousers
0584969001.jpg,0584969001,Dress,Garment Full body,Blouses,Blue,Ladieswear,Goal dress
0586677004.jpg,0586677004,Top,Garment Upper body,Knitwear,Dark Blue,Ladieswear,P Jenny
0586813003.jpg,0586813003,Sweater,Garment Upper body,Knitwear,Light Blue,Menswear,SNOW Mockneck cashmere
0589229006.jpg,0589229006,Boots,Shoes,Shoes,White,Ladieswear,BESS
0592959001.jpg,0592959001,Trousers,Garment Lower body,Trousers Denim,Blue,Baby/Children,SKINNY F.B
0592975003.jpg,0592975003,Trousers,Garment Lower body,Trousers,Light Blue,Ladieswear,Vermont fancy
0597333002.jpg,0597333002,T-shirt,Garment Upper body,Jersey Fancy,Grey,Baby/Children,Apollo s/s tee
0598397007.jpg,0598397007,Sneakers,Shoes,Shoes,White,Ladieswear,Enrique fancy sneaker
0599074003.jpg,0599074003,Dress,Garment Full body,Dresses Ladies,Black,Divided,Piper shirt dress W
0599102001.jpg,0599102001,Dress,Garment Full body,Blouses,Dark Green,Ladieswear,Polly dress
0599680001.jpg,0599680001,Pumps,Shoes,Shoes,Black,Ladieswear,OL REGAN PQ Pump
0601788001.jpg,0601788001,Trousers,Garment Lower body,Trousers,Dark Blue,Ladieswear,Elise wide printed
0604430001.jpg,0604430001,T-shirt,Garment Upper body,Unknown,Dark Blue,Menswear,TD Jason stripe
0609405001.jpg,0609405001,Jacket,Garment Upper body,Outdoor,Black,Ladieswear,&DENIM Jacket black jewel
0609638001.jpg,0609638001,Ballerinas,Shoes,Shoes,Light Orange,Baby/Children,Minna leather ballerina SG
0611930001.jpg,0611930001,Dress,Garment Full body,Dresses Ladies,Black,Divided,Lydia one shoulder dress
0615197001.jpg,0615197001,Hair/alice band,Accessories,Woven/Jersey/Knitted mix Baby,Light Orange,Baby/Children,SPEED GRÜN hairband
0619198003.jpg,0619198003,Dress,Garment Full body,Dresses Ladies,Light Green,Ladieswear,One dance
0619229003.jpg,0619229003,Slippers,Shoes,Shoes,Dark Blue,Baby/Children,Billy softie
0624636002.jpg,0624636002,Scarf,Accessories,Accessories,Beige,Ladieswear,Jessie
0626261003.jpg,0626261003,Dress,Garment Full body,Jersey Fancy,Grey,Baby/Children,MARAL DRESS
0626461002.jpg,0626461002,Dress,Garment Full body,Jersey Fancy,Black,Ladieswear,Silvia dress off shoulder
0633152012.jpg,0633152012,Tote bag,Bags,Accessories,Black,Divided,Selena shopper (1)
0636082001.jpg,0636082001,Jumpsuit/Playsuit,Garment Full body,Woven/Jersey/Knitted mix Baby,Light Beige,Baby/Children,MIGHETTO onepiece
0642929006.jpg,0642929006,Dress,Garment Full body,Jersey Fancy,Light Blue,Baby/Children,Evelina Dress
0650534001.jpg,0650534001,Weekend/Gym bag,Bags,Accessories,Black,Menswear,Weekend Bag Paul PU
0650534002.jpg,0650534002,Weekend/Gym bag,Bags,Accessories,Yellowish Brown,Menswear,Weekend Bag Paul PU
0682238003.jpg,0682238003,Backpack,Bags,Accessories,Black,Divided,NAV MINI BACK PACK
0682238013.jpg,0682238013,Backpack,Bags,Accessories,Black,Divided,NAV MINI BACK PACK
0682238030.jpg,0682238030,Backpack,Bags,Accessories,Black,Divided,NAV MINI BACK PACK
0721805001.jpg,0721805001,Shoulder bag,Bags,Accessories,Black,Divided,Sara hobo bag
0721805010.jpg,0721805010,Shoulder bag,Bags,Accessories,Black,Divided,Sara hobo bag
0736631005.jpg,0736631005,Backpack,Bags,Accessories,Black,Menswear,Jalle backpack
0753475001.jpg,0753475001,Weekend/Gym bag,Bags,Accessories,Black,Divided,MINDY SHOPPER
0753475008.jpg,0753475008,Weekend/Gym bag,Bags,Accessories,Light Beige,Divided,MINDY SHOPPER
0753475022.jpg,0753475022,Weekend/Gym bag,Bags,Accessories,Light Grey,Divided,MINDY SHOPPER
0753475025.jpg,0753475025,Weekend/Gym bag,Bags,Accessories,Black,Divided,MINDY SHOPPER
0753475028.jpg,0753475028,Weekend/Gym bag,Bags,Accessories,Light Beige,Divided,MINDY SHOPPER
0176754001.jpg,0176754001,Hair/alice band,Accessories,Accessories,Black,Ladieswear,2 Row Braided Headband (1)
0559854005.jpg,0559854005,Hat/beanie,Accessories,Accessories,Dark Red,Divided,Rodnay fancy/fun
